review_area,resolution,reason
image_reference_immutability,FIXED_AND_VERIFIED,"QC1-1: environment/Dockerfile used the mutable tag python:3.12-slim-bookworm. Repinned to python@sha256:392307d22300de8b5986851a12d9176dfc0fc073e65bf6523ebd7dcbeb23564e, the registry's multi-arch index digest, so the image cannot drift under the tag."
prose_regex_grading,FIXED_AND_VERIFIED,"QC1-2: answer_prose_floor graded answer.md with a length-only quantifier, so a keyword-stuffed stub scored. Replaced with the same sixty-word floor plus key-fact set-membership (BR-202, BR-206, AG-307 and the employment fact the conditionals turn on). Verified: gold still scores 1.0 on all ten checks; a 60-word filler stub that the old pattern accepted now fails answer_prose_floor and scores 0.0."
clarity_scope,N/A,"Open pending the difficulty round. The J-SPEC tripwire reported requirement spans at 72% of the instruction; measured as span-mass over a 268-word instruction, with 0 of 5 spans appearing in instruction.md itself (all are quoted from input fixtures). Held open deliberately because the same method-disclosure question is what the difficulty work addresses."
realism_domain_correctness,PASS,"BR-/AG- identifiers are bundle-local fiction: no jurisdiction, statute or association is named, and phantom citations (BR-298, BR-299, AG-399) sit outside the live ranges BR-201-211 and AG-301-311. No external source to reconcile; correctness is fully determined by the shipped fixtures."
realism_workflow,PASS,"Trade-guidance drift from the regulation is a standard beverage-compliance failure mode, and the non-employee solicitor-permit conflict mirrors real state-code structure. Deliverable shape (per-item verdict plus governing authority) matches practice. Narrower than real review in that UNADDRESSED items would be escalated rather than closed; accepted as a closed-world simplification."
golden_isolation,PASS,"Dockerfile copies environment/input/ only; tests/ and solution/ never enter the task image."
package_consistency,PASS,"instruction, submission_format, fixtures, gold and verifier pins agree. Gold re-derived independently from the fixtures and matched the pins (11/2/3/7). solution/golden_trajectory.json was found embedding the previous gold and was rebuilt from solution/files/ and asserted byte-identical."
verifier_fairness,PASS,"Two-tier scoring: 8 core checks gate, 2 incidental carry weight and cannot zero the task. Every graded surface is a contracted deliverable. All checks read workspace-relative files; grading is deterministic file inspection with no network and no judge."
reward_hacking,PASS,"Recorded attack shapes (label_soup, hedging, duplicate_rows) are caught. Hollow and incomplete replays all score 0. The anti-hedging check (answer_wrong_figure_exactly_one) blocks offering two candidate figures."
solvability,PASS,"GLM-5.2 under terminus-2 reached reward 1.0 on the shipped task; oracle scores 1.0 and an empty submission scores 0.0."
difficulty,N/A,"OPEN AND UNRESOLVED. GLM-5.2 x5 under terminus-2 scored 5/5 (mean 1.000) on three successive content versions: as-shipped, after stage-1 hardening, and after stage-2 hardening. Stage 2 raised agent runtime from 9m39s to 28m48s without producing a single failure. This is above the accepted band and is not claimed as passing; see README.md for the evidence and the open re-levelling question."
stability,N/A,"Repeat runs not yet recorded for the current content."
