item_id,draft_position,cited_section,item
IT-101,needed,BR-201,The brand holds a state tasting permit for the period.
IT-102,not_needed,AG-302,Our tasting staff need no permit of their own; the brand's permit covers them.
IT-103,needed,AG-303,The store holds its own tasting permit.
IT-104,needed,BR-298,Each server carries a state identification card.
IT-105,not_needed,AG-304,No advance notice of the event is filed with the division.
IT-106,needed,AG-305,Each sample stays within the size limit.
IT-107,needed,BR-205,The store owner's written consent is on file.
IT-108,needed,AG-306,A log of each tasting is kept.
IT-109,not_needed,AG-307,Servers need no training certificate.
IT-110,needed,BR-299,A certificate of insurance is filed with the division.
IT-111,needed,BR-206,A brand representative is present at every tasting.
IT-112,needed,BR-207,Every taster's age is verified before service.
IT-113,needed,AG-399,The municipality's ordinance is reviewed for each store.
IT-114,not_needed,BR-208,No signage need be posted at the tasting table.
IT-115,needed,BR-209,A separate permit is obtained for each store.
IT-116,not_needed,AG-310,No report is filed after the event.
